Gd(ClO4)3,Co(Ac)2,NaAc,EtOH,NaOH,Y,source_file
2.16,0.85,1.23,2.16,3.59,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.86,0.62,1.83,0.77,3.92,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.13,0.83,1.41,3.23,2.41,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.13,0.56,1.19,3.14,3.98,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.62,0.5,1.66,3.97,2.25,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.91,0.77,1.15,1.3,3.87,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.93,0.65,1.95,0.67,3.82,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.34,0.75,1.36,2.77,2.78,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.59,0.91,1.06,1.76,3.67,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.36,0.54,1.68,4.36,2.06,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.83,0.87,1.72,2.66,2.93,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.9,0.57,1.52,2.15,2.86,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.79,0.76,1.71,1.99,2.74,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.51,0.72,1.81,2.66,3.3,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.83,0.79,1.39,1.9,3.1,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.45,0.93,1.08,3.5,2.03,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.61,0.99,1.26,1.64,3.51,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.06,0.88,1.84,3.09,2.12,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.01,0.9,1.99,1.45,3.65,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.02,0.85,1.45,1.74,3.94,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.08,1.0,1.44,4.36,2.12,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
